study,id,date,sessionID,startTime,endTime,timeToComplete,Remove,country,sourceIP(hash with salt),ageGroup6,ageGroup6Text,ageGroup3,ageGroup3Text,sex,previousVote,intendReferendumVote,ethnicity,religion,privacy,Q47,Q48,Q49,Q50,Q51,Q52,Q53,Q54,Q55,Q56,Q57,Q58,Q59,Q60,expType,adp1,adp1_num,adpRiskyChoice,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13,Q14,Q15,Q16,Q17,Q18,Q19,Q20,Q21,Q22,RWAScore
study3,1,20160429,d65fff6b8fd614cb0273d8694a09c84e,04/29/2016 16:37,04/29/2016 16:45,8,Keep,GB,307b4d8017f302c526226702467810192ad0c786542d490ebdf08d6d3292c045,3,Age 35-44,2,35_to_54,Male,Labour,Remain,a,1,1,1,1,2,1,1,1,1,1,1,1,1,3,1,1,B,b,2,1,2,1,9,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,30
study3,2,20160430,5abce7873ce9a9a46409186167747ec9,04/30/2016 1:55,04/30/2016 2:01,6,Keep,FI,ff4a7b3d16331d1e72d6322baa9d33cc895b630a79af10eaf79da98d374b8772,2,Age 25-34,1,18_to_34,Male,NoVote,Remain,a,1,2,2,2,2,2,3,4,3,3,3,2,1,1,1,3,A,b,2,1,6,1,9,1,4,1,1,2,1,1,1,4,5,2,5,1,1,1,1,1,7,3,52
study3,3,20160430,49f6010da4ebef4de5fea527c722a68c,04/30/2016 4:58,04/30/2016 5:04,6,Keep,GB,cb31c0ea88a5261d6d5d635ce69930890c7f18a4b76c4a0f31ad4aef6491c664,2,Age 25-34,1,18_to_34,Male,Labour,Leave,a,1,5,3,4,5,1,4,4,4,5,2,1,5,1,1,4,B,b,2,1,4,1,8,1,2,1,7,2,3,1,1,7,1,7,2,1,6,1,8,1,5,4,69
study3,4,20160430,c5a64f2f09ab885a3c559f8ff47ee0c8,04/30/2016 4:59,04/30/2016 5:05,6,Keep,GB,bfaab7c04861c28434f208b2ba6b24be2acbd843527f6538e7675a6076e8acf5,3,Age 35-44,2,35_to_54,Female,Labour,Remain,a,5,2,2,2,3,1,2,2,3,2,1,2,1,1,1,2,B,b,2,1,1,1,9,1,1,1,1,1,1,1,1,5,1,1,1,1,1,1,1,1,3,1,34
study3,5,20160430,e4df976585cd6d177f98d05b548b1622,04/30/2016 5:04,04/30/2016 5:12,8,Keep,GB,5a6722de342ce17762d0a4257867df5c981138c302bb2427049f2305f8a9693a,3,Age 35-44,2,35_to_54,Male,Labour,Remain,a,5,5,1,1,2,1,1,3,2,2,1,3,2,1,1,1,A,b,2,1,3,1,4,1,3,3,7,1,1,7,1,5,3,7,2,5,7,1,7,2,2,8,77
study3,6,20160430,2e61b62adeac4ac188301157d6473a02,04/30/2016 5:25,04/30/2016 5:31,6,Keep,NG,1079bd2399b4fc3892f2f04a4873001f4b7db458aef9d51dc6d8bbc57270c83c,5,Age 55-64,3,55_and_over,Male,LibDem,Remain,a,5,1,1,2,2,1,1,2,2,4,1,1,1,1,1,3,B,b,2,1,3,1,9,1,1,1,1,1,1,1,1,3,1,5,1,2,4,1,2,1,1,5,43
study3,7,20160430,c9609315cf85507c77a18c268b1870c3,04/30/2016 5:17,04/30/2016 5:32,15,Keep,GB,1a12db34dfc36eaa5dc5231290abf0d24272c2b5191a958f1da1279396ba1716,6,Age 65+,3,55_and_over,Male,UKIP,Leave,a,1,5,4,5,5,4,4,5,5,5,5,1,4,1,1,5,A,b,2,1,3,1,8,1,2,1,7,3,1,5,8,5,5,6,2,1,1,1,4,3,6,3,73
study3,8,20160430,aa0295dcb786bf678a0d8a3eea0b5c1f,04/30/2016 5:24,04/30/2016 5:32,8,Keep,GB,fef52361d5d00354a18ce401a2ebec06262d14da92a24a453917c1186f5e98fd,4,Age 45-54,2,35_to_54,Male,Labour,Remain,a,1,4,2,3,3,1,2,1,3,3,1,1,3,1,1,2,B,b,2,1,1,1,5,1,1,1,1,1,1,1,2,6,1,1,2,1,8,1,1,2,5,1,43
study3,9,20160430,c0d88919778abaa81a530f748f27e49f,04/30/2016 5:24,04/30/2016 5:34,10,Keep,GB,c183318ece4631a7e85ec8f5ca5ceae3e22d8b35ad03bd04dcd07df2804ff131,5,Age 55-64,3,55_and_over,Male,Con,Leave,a,3,1,5,4,5,2,5,4,4,3,4,4,1,1,1,5,A,b,2,1,3,2,8,1,3,1,3,7,1,3,3,6,5,2,4,2,4,2,2,1,4,2,64
study3,10,20160430,f011aa179f19e7f896d684d7aadf3951,04/30/2016 5:28,04/30/2016 5:34,6,Keep,GB,bfb99e1ccb207e567a64d6f3d5a251ca2b3a3548e9c97ab20b3a98b086262ef2,6,Age 65+,3,55_and_over,Female,UKIP,Leave,a,1,5,5,5,5,5,1,5,5,5,5,1,5,1,3,5,B,b,2,1,1,1,3,6,2,1,9,1,1,9,6,9,9,9,5,5,9,1,9,5,7,5,111
